# == Options ==
# numRun = 4
# numLevel = 4
# numIter = 10
# numThread = 1
# timeout = 30
# parallelStrat = 1
# parallelLevel = 1
# == End of options ==
#<RunId> <iterId> <timestamp> <currentbestscore>
0 0 0.35 1111.00 
0 1 0.70 1111.00 
0 2 1.04 1299.00 
0 3 1.38 1299.00 
0 4 1.72 1299.00 
0 5 2.06 1299.00 
0 6 2.40 1299.00 
0 7 2.74 1299.00 
0 8 3.08 1317.00 
0 9 3.41 1408.00 


1 0 0.34 914.00 
1 1 0.68 1013.00 
1 2 1.02 1013.00 
1 3 1.36 1076.00 
1 4 1.71 1076.00 
1 5 2.05 1076.00 
1 6 2.39 1076.00 
1 7 2.74 1076.00 
1 8 3.09 1197.00 
1 9 3.44 1306.00 


2 0 0.35 731.00 
2 1 0.70 899.00 
2 2 1.05 1031.00 
2 3 1.39 1031.00 
2 4 1.74 1360.00 
2 5 2.10 1360.00 
2 6 2.44 1360.00 
2 7 2.79 1360.00 
2 8 3.13 1360.00 
2 9 3.47 1360.00 


3 0 0.35 1127.00 
3 1 0.69 1127.00 
3 2 1.03 1127.00 
3 3 1.38 1175.00 
3 4 1.73 1398.00 
3 5 2.07 1398.00 
3 6 2.42 1398.00 
3 7 2.77 1398.00 
3 8 3.12 1499.00 
3 9 3.46 1499.00 


